Severity,Category,Count
4,FieldNamingConventions,769
4,CognitiveComplexity,364
4,ExcessiveParameterList,186
4,OneDeclarationPerLine,9
4,ApexSuggestUsingNamedCred,20
4,MethodNamingConventions,615
4,ClassNamingConventions,88
4,PropertyNamingConventions,496
4,ApexDangerousMethods,8
4,AvoidGlobalModifier,29
4,EmptyStatementBlock,84
4,ApexSharingViolations,52
4,ApexCRUDViolation,975
4,FormalParameterNamingConventions,142
4,NcssMethodCount,77
4,LocalVariableNamingConventions,227
4,ApexUnitTestClassShouldHaveAsserts,283
4,OperationWithLimitsInLoop,33
4,AvoidDeeplyNestedIfStmts,105
4,IfStmtsMustUseBraces,216
4,IfElseStmtsMustUseBraces,238
4,EmptyIfStmt,15
4,ExcessivePublicCount,24
4,MethodWithSameNameAsEnclosingClass,3
4,ForLoopsMustUseBraces,8
4,AvoidHardcodingId,7
4,ExcessiveClassLength,8
4,NcssTypeCount,5
4,ApexSOQLInjection,7
4,NcssConstructorCount,8
4,TooManyFields,13
4,ApexXSSFromURLParam,2
4,EmptyCatchBlock,19
4,ApexOpenRedirect,3
4,ApexXSSFromEscapeFalse,2
4,EmptyTryOrFinallyBlock,1
4,VfUnescapeEl,26
4,VfCsrf,2
4,AvoidLogicInTrigger,44
2,ApexAssertionsShouldIncludeMessage,788
2,ApexUnitTestMethodShouldHaveIsTestAnnotation,132
